LOAN_NUMBER,PAYMENT_DATE,PRINCIPAL,INTEREST,RATE,ADDRESS,CITY,STATE,ZIP_CODE,FIRST_NAME,LAST_NAME
1001,02/01/01,100,297,3,1 Davis  Drive,Paramus,NJ,10010,Name1,Last1
1002,02/01/01,100,121.77,1.23,2 Davis  Drive,Paramus,NJ,10010,Name2,Last2
1003,02/01/01,100,495,5,3 Davis  Drive,Paramus,NJ,10010,Name3,Last3
1004,02/01/01,100,198,2,4 Davis  Drive,Paramus,NJ,10010,Name4,Last4
1005,02/01/01,100,247.5,2.5,5 Davis  Drive,Paramus,NJ,10010,Name5,Last5
1006,02/01/01,100,326.7,3.3,6 Davis  Drive,Paramus,NJ,10010,Name6,Last6
1007,02/01/01,100,507.375,5.125,7 Davis  Drive,Paramus,NJ,10010,Name7,Last7
1008,02/01/01,100,99,1,8 Davis  Drive,Paramus,NJ,10010,Name8,Last8
1009,02/01/01,100,247.5,2.5,9 Davis  Drive,Paramus,NJ,10010,Name9,Last9
1010,02/01/01,100,329.67,3.33,10 Davis  Drive,Paramus,NJ,10010,Name10,Last10
